"id","price","date_stamp","issn","influence_id","url","license"
8691,1400,"2016-08-11","2051-5960","NULL","NULL",NA
8692,2175,"2016-08-11","1758-9193","NULL","NULL",NA
8693,2145,"2016-08-11","1476-0711","NULL","NULL",NA
8694,2145,"2016-08-11","2047-2994","NULL","NULL",NA
8695,2145,"2016-08-11","1744-9081","NULL","NULL",NA
8696,2450,"2016-08-11","1480-9222","NULL","NULL",NA
8697,2450,"2016-08-11","2042-6410","NULL","NULL",NA
8698,2255,"2016-08-11","2050-7771","NULL","NULL",NA
8699,2145,"2016-08-11","1471-2407","NULL","NULL",NA
8700,2145,"2016-08-11","1471-2172","NULL","NULL",NA
8701,2145,"2016-08-11","1471-2350","NULL","NULL",NA
8702,2145,"2016-08-11","1755-8794","NULL","NULL",NA
8703,2145,"2016-08-11","1471-2202","NULL","NULL",NA
8704,2145,"2016-08-11","2050-6511","NULL","NULL",NA
8705,2145,"2016-08-11","1472-6793","NULL","NULL",NA
8706,1290,"2016-08-11","1756-0500","NULL","NULL",NA
8707,2910,"2016-08-11","1465-542X","NULL","NULL",NA
8708,2450,"2016-08-11","2049-3002","NULL","NULL",NA
8709,2300,"2016-08-11","1475-2867","NULL","NULL",NA
8710,0,"2016-08-11","1944-446X","NULL","NULL",NA
8711,2450,"2016-08-11","1868-7083","NULL","NULL",NA
8712,2145,"2016-08-11","2045-3329","NULL","NULL",NA
8713,2240,"2016-08-11","1878-5085","NULL","NULL",NA
8714,2145,"2016-08-11","2040-7378","NULL","NULL",NA
8715,2145,"2016-08-11","2046-7648","NULL","NULL",NA
8716,2450,"2016-08-11","2044-7248","NULL","NULL",NA
8717,2145,"2016-08-11","2045-8118","NULL","NULL",NA
8718,2145,"2016-08-11","1865-3499","NULL","NULL",NA
8719,0,"2016-08-11","1880-7062","NULL","NULL",NA
8720,2785,"2016-08-11","1756-994X","NULL","NULL",NA
8721,2145,"2016-08-11","1897-4287","NULL","NULL",NA
8722,2450,"2016-08-11","1479-7364","NULL","NULL",NA
8723,2145,"2016-08-11","1742-4933","NULL","NULL",NA
8724,2145,"2016-08-11","1750-9378","NULL","NULL",NA
8725,0,"2016-08-11","1423-0127","NULL","NULL",NA
8726,2300,"2016-08-11","1476-9255","NULL","NULL",NA
8727,2145,"2016-08-11","1477-5751","NULL","NULL",NA
8728,2450,"2016-08-11","1866-1955","NULL","NULL",NA
8729,2240,"2016-08-11","1743-0003","NULL","NULL",NA
8730,2450,"2016-08-11","1742-2094","NULL","NULL",NA
8731,2220,"2016-08-11","2055-0294","NULL","NULL",NA
8732,1565,"2016-08-11","1880-6805","NULL","NULL",NA
8733,2145,"2016-08-11","1479-5876","NULL","NULL",NA
8734,2145,"2016-08-11","1678-9199","NULL","NULL",NA
8735,2240,"2016-08-11","1475-2875","NULL","NULL",NA
8736,2450,"2016-08-11","2049-2618","NULL","NULL",NA
8737,2145,"2016-08-11","1759-8753","NULL","NULL",NA
8738,1980,"2016-08-11","1756-6606","NULL","NULL",NA
8739,2145,"2016-08-11","1476-4598","NULL","NULL",NA
